date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:35	111/111	---M-Z	200	added ('OK')	text/plain	date:Fri,%2013%20Oct%202023%2018:59:33%20GMT	https://axium.solutions/robots.txt		(from )
11:59:35	120656/120656	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2018:59:34%20GMT	https://axium.solutions/	/Users/arnav/websites/Axium/axium.solutions/index.html	(from )
11:59:36	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%2225a2d56-172a9-5f2de54956c96-gzip%22	https://axium.solutions/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	/Users/arnav/websites/Axium/axium.solutions/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://axium.solutions/)
11:59:36	217/217	---M-Z	200	added ('OK')	text/css	etag:%2225a2d24-d9-5f2de5492d86a-gzip%22	https://axium.solutions/wp-includes/css/classic-themes.min.css?ver=1	/Users/arnav/websites/Axium/axium.solutions/wp-includes/css/classic-themes.min68b3.css	(from https://axium.solutions/)
11:59:37	3958/3958	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2018:59:37%20GMT	http://www.googletagmanager.com/	/Users/arnav/websites/Axium/www.googletagmanager.com/index.html	(from https://axium.solutions/)
11:59:37	746/746	---M-Z	200	added ('OK')	application/rss+xml	etag:%22018cc7f2affe077fd32377986b8fcc72-gzip%22	https://axium.solutions/comments/feed/	/Users/arnav/websites/Axium/axium.solutions/comments/feed/index.html	(from https://axium.solutions/)
11:59:37	14801/14801	---M-Z	200	added ('OK')	application/rss+xml	etag:%22018cc7f2affe077fd32377986b8fcc72-gzip%22	https://axium.solutions/feed/	/Users/arnav/websites/Axium/axium.solutions/feed/index.html	(from https://axium.solutions/)
11:59:38	2803/2803	---M-Z	200	added ('OK')	text/css	etag:%2224e2c6b-af3-5f2de5382ab0e-gzip%22	https://axium.solutions/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.2	/Users/arnav/websites/Axium/axium.solutions/wp-content/plugins/contact-form-7/includes/css/styles9f31.css	(from https://axium.solutions/)
11:59:39	19279/19279	---M-Z	200	added ('OK')	text/css	etag:%2225426c7-4b4f-5f2de53ad0af5-gzip%22	https://axium.solutions/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	/Users/arnav/websites/Axium/axium.solutions/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://axium.solutions/)
11:59:40	87186/87186	---M-Z	200	added ('OK')	text/css	etag:%2225423aa-15492-5f2de53975824-gzip%22	https://axium.solutions/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.9.2	/Users/arnav/websites/Axium/axium.solutions/wp-content/plugins/elementor/assets/css/frontend-lite.min2e46.css	(from https://axium.solutions/)
11:59:41	1099/1099	---M-Z	200	added ('OK')	text/css	etag:%2225a288c-44b-5f2de546cd1d1-gzip%22	https://axium.solutions/wp-content/uploads/elementor/css/post-5.css?ver=1673170128	/Users/arnav/websites/Axium/axium.solutions/wp-content/uploads/elementor/css/post-507eb.css	(from https://axium.solutions/)
11:59:42	56386/56386	---M-Z	200	added ('OK')	text/css	etag:%2225a2880-dc42-5f2de546bf328-gzip%22	https://axium.solutions/wp-content/uploads/elementor/css/global.css?ver=1673170136	/Users/arnav/websites/Axium/axium.solutions/wp-content/uploads/elementor/css/global1ff3.css	(from https://axium.solutions/)
11:59:43	87141/87141	---M-Z	200	added ('OK')	text/css	etag:%2225a36af-15465-5f40fe181dddb-gzip%22	https://axium.solutions/wp-content/uploads/elementor/css/post-2274.css?ver=1675723928	/Users/arnav/websites/Axium/axium.solutions/wp-content/uploads/elementor/css/post-2274ca37.css	(from https://axium.solutions/)
11:59:44	11523/11523	---M-Z	200	added ('OK')	text/css	etag:%2225a2885-2d03-5f2de546c6c41-gzip%22	https://axium.solutions/wp-content/uploads/elementor/css/post-2338.css?ver=1674402345	/Users/arnav/websites/Axium/axium.solutions/wp-content/uploads/elementor/css/post-2338764f.css	(from https://axium.solutions/)
11:59:45	6957/6957	---M-Z	200	added ('OK')	text/css	etag:%2225a2886-1b2d-5f35f1bcbe47c-gzip%22	https://axium.solutions/wp-content/uploads/elementor/css/post-2347.css?ver=1674964697	/Users/arnav/websites/Axium/axium.solutions/wp-content/uploads/elementor/css/post-2347fb60.css	(from https://axium.solutions/)
11:59:46	12982/12982	---M-Z	200	added ('OK')	text/css	etag:%2225a1fcf-32b6-5f2de544a3a26-gzip%22	https://axium.solutions/wp-content/themes/royal-elementor-kit/style.css?ver=1.0	/Users/arnav/websites/Axium/axium.solutions/wp-content/themes/royal-elementor-kit/style5152.css	(from https://axium.solutions/)
